name,ID,developer,conversations,developer_urls,urls
History,['fdWXvBO59'],By smartprompt.xyz,50K+,https://smartprompt.xyz/,
,,,,https://twitter.com/smartpromptai,
American History,['QGs6nkAc5'],By ai-gen.co,1K+,https://ai-gen.co/,
,,,,https://linkedin.com/in/jackmartin2,
Art History GPT,['86bbn3qum'],By Michael Prusnofsky,1K+,https://linkedin.com/in/michaelprusnofsky,
,,,,https://github.com/mpruz44,
Alternative History (假如历史可以重来),['Ihtumr1DL'],By Wei Li,1K+,https://lw8322.info/,
Alternate History Storyteller,['RnFGy7NiV'],Not enough ratings yet,400+,,
