name,ID,developer,conversations,developer_urls,urls
Astrology Birth Chart GPT,['WxckXARTP'],By Dalexa Limited,400K+,https://authorityastrology.com/,
Astrology Birth Chart GPT 👉,['dKwDL1Dnz'],Not enough ratings yet,10+,https://orrenprunckun.com/,https://rebrand.ly/1yqq8oh
,,,,https://twitter.com/OrrenHimself,
Pythia.guru 💫 Astrology Birth Chart GPT Analysis,['efgZrOfr6'],Not enough ratings yet,50+,https://pythia.guru/,https://pythia.guru
,,,,,https://horoscopes.astro-seek.com/current-planets-astrology-transits-planetary-positions
