name,ID,developer,conversations,developer_urls,urls
Business Plan Builder,['B7m98jiyn'],By Lorenzo Gonzalez,25K+,https://linkedin.com/in/lorenzogonz,
,,,,https://twitter.com/lorenzojuniah,
Business Plan Builder,['HyzCxtDFK'],By Dhanraj,1K+,,
Business Plan Builder,['sNkkOtu8S'],Not enough ratings yet,4,,
Business Plan Builder,['oCTYcRUhV'],Not enough ratings yet,5,,
Business Plan Builder Beonbrand,['sjEHTixWw'],Not enough ratings yet,1,https://beonbrand.ca/,
,,,,https://linkedin.com/in/yusufbaykalbozkurt,
