name,ID,developer,conversations,developer_urls,urls
Finance,['4h9g9N0si'],By capchair.com,25K+,https://capchair.com/,
Finance Wizard,['szDdJUX9V'],By financewizard.io,400K+,https://financewizard.io/,https://financewizard.io/
,,,,https://twitter.com/financewizgpt,
Finance (Business Finance),['81BdggBV3'],By Sean Sullivan,50K+,,
"Finance & Trading: Stock, Crypto, Forex ~Investing","['wmxtM9sVs', 'stock']",By community builder,100K+,,
Personal Finance and Budgeting Wizard,['9jS8Ca9EV'],By JONATHON MOORE,5K+,https://twitter.com/TheJMoore,
