name,ID,developer,conversations,developer_urls,urls
Power BI Wizard,['TiBidpICQ'],By minasaad.online,50K+,https://minasaad.online/,
,,,,https://linkedin.com/in/minasaad1,
Power BI Wizard,['7eNtHchfv'],Not enough ratings yet,30+,https://linkedin.com/in/christophermschmidt,
,,,,https://github.com/christophermschmidt,
Power BI Wizard,['0zxGn1bFR'],Not enough ratings yet,10+,,
Power BI Wizard,['Wi3JvcF2L'],Not enough ratings yet,40+,,
Power BI Wizard,['sjj4rSbP7'],Not enough ratings yet,80+,https://tecartificial.com.br/,
