name,ID,developer,conversations,developer_urls,urls
Executive func,['H93fevKeK'],By gptavern.mindgoblinstudios.com,10K+,https://gptavern.mindgoblinstudios.com/,
,,,,https://twitter.com/NickADobos,
ADHD Executive Function,['CpdOxUVRT'],By NIRANT KASLIWAL,600+,https://linkedin.com/in/nirant,
,,,,https://twitter.com/NirantK,
Executive Function (EF) Coach,['5HCYXYGaL'],Not enough ratings yet,10+,,
Executive Function Doc,['ZbNmNsFj0'],Not enough ratings yet,9,,
Executive Function Coach,['yv0HNXEV6'],Not enough ratings yet,10+,,
