name,ID,developer,conversations,developer_urls,urls
Law,['IfDuadRaA'],By David Paul,25K+,,
Law: Legal & Contract (not real lawyer),['My8UBHpJn'],By AI Research+,100K+,https://linkedin.com/in/gilamlevi,
,,,,https://twitter.com/GilamLevi,
Legal Info: Law & Document (not actual lawyer),['iR15hX15H'],By Wei Li,1K+,,
UK Law,['T9xazFch9'],By Jordan M Schultka,10K+,,
AI Lawyer,['QEj3LcqxZ'],By Richard Rodgers,25K+,https://startuptechlaw.com/,
California Law,['ZjqlWuuMk'],By webcafesoftware.com,5K+,https://webcafesoftware.com/,
,,,,https://twitter.com/webcafeai,
