name,ID,developer,conversations,developer_urls,urls
Finance Wizard,['szDdJUX9V'],By financewizard.io,400K+,https://financewizard.io/,
,,,,https://twitter.com/financewizgpt,
Finance Wizard,['Sr57tGjRJ'],Not enough ratings yet,Productivity,https://linkedin.com/in/mauricio-sanchez-b21480175,
,,,,https://twitter.com/zeroxdesignArt,
Finance Wizard,['spI7cZPyd'],Not enough ratings yet,10+,,
finance wizard,['zcAQbOor1'],Not enough ratings yet,20+,,
Finance Wizard,['Sr57tGjRJ'],Not enough ratings yet,1,https://linkedin.com/in/mauricio-sanchez-b21480175,
,,,,https://twitter.com/zeroxdesignArt,
