name,ID,developer,conversations,developer_urls,urls
Framework Finder,['vZ7SgKBOh'],By Ethan R Mollick,25K+,https://oneusefulthing.org/,
Framework Finder,['vQv3CuVEI'],Not enough ratings yet,5,https://mldk.tech/,
,,,,https://github.com/mldk-tech,
Framework Finder and Coach,['k53xtcKjR'],Not enough ratings yet,6,https://linkedin.com/in/melvyn-rapprecht,
,,,,https://twitter.com/2dylesservices,
Framework Finder and Coach,['k53xtcKjR'],Not enough ratings yet,7,,
Framework Finder GPT,['MYvKmqOCI'],Not enough ratings yet,7,,
