name,ID,developer,conversations,developer_urls,urls
Prompt Professor,['qfoOICq1l'],By community builder,100K+,,
GM Prompt Professor (V2),['nII6hRNDi'],Not enough ratings yet,100+,https://linkedin.com/in/gal-moshkovitz,
,,,,https://twitter.com/DarkScorpionAI,
Prompt Professor,['QBgGWeLYX'],Not enough ratings yet,6,https://linkedin.com/in/bashinandrey,
,,,,https://twitter.com/AndreyBashin,
Prompt Professor,['nBLNrNJqB'],Not enough ratings yet,100+,,
Prompt Professor,['nBLNrNJqB'],Not enough ratings yet,100+,,
